Name,length,rank,Aut_B,Aut_R,Aut_F,Aut_C,Aut_B_stored,Aut_R_stored,Aut_F_stored,Aut_C_stored,describe
r2n5_1f3,5,2,false,,,true,true,,,true,D12
r1n2_1,2,1,true,,true,true,true,,true,true,1
r1n3_1,3,1,true,,,true,true,,,true,C2
r1n5_1,5,1,false,,,false,true,,,true,S4
r1n5_1f,5,1,false,,,false,true,,,true,S5
r2n4_1f,4,2,false,,,true,true,,,true,C2 x C2
r2n4_1,4,2,false,,,false,true,,,true,C2 x C2
r1n2_3,2,1,true,true,true,true,true,true,true,true,C2
r1n3_3,3,1,true,,,true,true,,,true,C2
r2n4_b,4,2,true,,,true,true,,,true,S3
r2n5_033,5,2,false,,,false,true,,,true,S4
r2n5_043,5,2,false,,,false,true,,,true,D12
r1n4_f,4,1,false,,,false,true,,,true,S4
r1n5_7,5,1,false,,,false,true,,,true,D12
r2n5_0d2,5,2,false,,,false,true,,,true,D8
r2n5_0d3,5,2,false,,,true,true,,,true,C2 x C2
r1n4_7,4,1,true,,,true,true,,,true,S3
r2n4_7,4,2,true,,,true,true,,,true,S3
r2n5_003,5,2,false,,,false,true,,,true,C2 x C2
r2n5_001,5,2,false,,,false,true,,,true,D12
r2n5_1f2,5,2,false,,,false,true,,,true,D12
r2n5_2d3,5,2,false,,,true,true,,,true,S4
r1n5_3,5,1,false,,,false,true,,,true,D12
r0n2_1,2,0,true,true,true,true,true,true,true,true,
r2n5_7f3,5,2,false,,,true,true,,,true,D12
r1n5_f,5,1,false,,,false,true,,,true,S4
r2n4_3,4,2,true,,,true,true,,,true,C2
r2n5_013,5,2,true,,,true,true,,,true,S3
r2n4_3f,4,2,false,,,true,true,,,true,S4
r1n4_3,4,1,false,,,false,true,,,true,C2 x C2
r2n4_1e,4,2,false,,,false,true,,,true,D8
r2n5_ff3,5,2,false,,,true,true,,,true,S5
r2n5_7b3,5,2,false,,,false,true,,,true,D8
r1n4_1,4,1,true,,,true,true,,,true,S3
r1n3_7,3,1,true,,,true,true,,,true,S3
r3n4_f,4,3,true,,,,true,,,,S4
